model,r_square_score,mae_score,mse_score,rmse_score,mape_score
'RandomForestRegressor',0.7069,121921524.737,737742260793780700,858919239.9718,0
'LinearRegressor',-44.9772,409871286.4686,115712311841280310000,10756965735.8049,0
'DecisionTreeRegressor',0.72,135399015.1578,704746871867068200,839492032.045,0
'GradientBoostingRegressor',0.7268,115133800.2368,687667044188265600,829256922.9064,0
'KNeighborsRegressor',0.6764,102363129.9931, 814339606154390400,902407671.8171,0
'XGBRegressor',0.8174,120874729.5308,459478847363602050,677848690.6114,0
'LGBMRegressor',0.7136,108920601.08,720792112641740800,848994765.9684,0
'CatBoostRegressor',0.7906,99771952.6024,527092955101100200,26011676.973,0
'Ridge',-43.251,405918369.492,1113678157046168000000,10553095077.0197,0
'grid_search_xgb',0.7833,122552372.1753,5.4545446221815635e+17,738548889.5247,1046546.1116
'random_search_xgb',0.7833,122552372.1753,5.4545446221815635e+17,738548889.5247,1046546.11